[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[4.9951,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[4.9951,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[4.9951,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[4.9951,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9785,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9609,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9756,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9824],	
[5.0000,	4.9707,	3.9834,	2.9765,	1.9795,	0.9775],	
[5.0000,	4.9658,	3.9834,	2.9765,	1.9795,	0.9775],
[5.0000,	4.9756,	3.9785,	2.9765,	1.9795,	0.9824]]	
